Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

RanInt_n120_ds_04.txt	47772.00		47442.200	303.392		3.569	0.047
RanInt_n120_ds_05.txt	48137.00		47666.000	338.415		3.615	0.074
RanInt_n120_ds_06.txt	47011.00		46810.800	171.572		3.605	0.060
RanInt_n120_ds_07.txt	47520.00		47350.800	243.763		3.596	0.079
RanInt_n120_ds_08.txt	48307.00		47900.000	375.597		3.561	0.060
RanInt_n120_ds_09.txt	47771.00		47691.000	81.963		3.591	0.074
RanInt_n120_ds_10.txt	48052.00		47299.000	580.623		3.581	0.072
RanInt_n120_ss_01.txt	46142.00		45420.000	373.942		1.898	0.094
RanInt_n120_ss_02.txt	45700.00		45219.800	439.469		1.940	0.051
RanInt_n120_ss_03.txt	45146.00		44831.400	184.637		1.909	0.046
RanInt_n120_ss_04.txt	45430.00		45025.600	254.416		1.951	0.120
RanInt_n120_ss_05.txt	45156.00		44812.200	336.712		1.922	0.113
RanInt_n120_ss_06.txt	45088.00		44332.000	403.112		1.896	0.057
RanInt_n120_ss_07.txt	45250.00		44741.600	376.549		1.905	0.099
RanInt_n120_ss_08.txt	45264.00		44607.000	406.742		1.888	0.074
RanInt_n120_ss_09.txt	45433.00		45051.800	327.544		1.971	0.080
RanInt_n120_ss_10.txt	45300.00		45029.200	227.268		1.948	0.056
RanInt_n240_ds_01.txt	152342.00		151039.400	1058.440		7.749	0.109
RanInt_n240_ds_02.txt	153476.00		152621.600	668.647		7.758	0.105
RanInt_n240_ds_03.txt	152006.00		151773.200	219.036		7.643	0.087
RanInt_n240_ds_04.txt	153997.00		152879.000	1048.478		7.862	0.317
RanInt_n240_ds_05.txt	152341.00		151712.000	598.511		7.805	0.043
RanInt_n240_ds_06.txt	151687.00		151384.200	215.709		7.779	0.098
RanInt_n240_ds_07.txt	152401.00		150994.600	774.148		7.756	0.095
RanInt_n240_ds_08.txt	151264.00		149867.400	1065.057		7.789	0.118
RanInt_n240_ds_09.txt	153381.00		150526.200	1738.162		7.860	0.325
RanInt_n240_ds_10.txt	151833.00		151100.200	878.552		7.881	0.282
RanInt_n240_ss_01.txt	148106.00		146716.000	1013.952		4.186	0.315
RanInt_n240_ss_02.txt	146790.00		145478.400	845.184		4.234	0.191
RanInt_n240_ss_03.txt	148690.00		146659.400	1485.313		4.238	0.204
RanInt_n240_ss_04.txt	148580.00		148027.800	503.543		4.124	0.060
RanInt_n240_ss_05.txt	148542.00		147394.200	1090.618		4.158	0.143
RanInt_n240_ss_06.txt	148370.00		146936.800	831.116		4.240	0.213
RanInt_n240_ss_07.txt	147740.00		146136.200	945.637		4.214	0.088
RanInt_n240_ss_08.txt	147253.00		146345.400	676.258		4.114	0.098
RanInt_n240_ss_09.txt	147101.00		146585.400	446.640		4.096	0.129
RanInt_n240_ss_10.txt	148518.00		147483.400	664.807		4.069	0.114
RanInt_n480_ds_01.txt	367430.00		363769.200	2150.442		16.391	0.249
RanInt_n480_ds_02.txt	365474.00		363412.800	2065.514		16.416	0.262
RanInt_n480_ds_03.txt	365924.00		362677.000	2477.824		16.175	0.177
RanInt_n480_ds_04.txt	367736.00		366104.000	2172.560		16.255	0.132
RanInt_n480_ds_05.txt	362663.00		360197.400	2169.780		16.450	0.143
RanInt_n480_ds_06.txt	364633.00		363698.400	804.577		16.274	0.107
RanInt_n480_ds_07.txt	365475.00		363095.000	1405.102		16.548	0.210
RanInt_n480_ds_08.txt	367539.00		365157.600	1977.301		16.303	0.229
RanInt_n480_ds_09.txt	365438.00		363976.200	1199.275		16.246	0.136
