Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

Geo_n120_ss_04.txt	146606.34		146541.875	50.271		1.854	0.018
Geo_n120_ss_05.txt	224633.18		224609.459	18.328		1.856	0.002
Geo_n120_ss_06.txt	250213.52		250106.019	84.789		1.864	0.009
Geo_n120_ss_07.txt	196381.08		196330.852	39.702		1.861	0.013
Geo_n120_ss_08.txt	159469.43		159368.993	72.870		1.881	0.015
Geo_n120_ss_09.txt	174013.12		173968.480	50.704		1.895	0.036
Geo_n120_ss_10.txt	120203.26		120124.810	52.023		1.885	0.036
Geo_n240_ds_01.txt	399717.60		399586.984	110.143		7.775	0.043
Geo_n240_ds_02.txt	694443.21		693103.875	679.480		7.773	0.056
Geo_n240_ds_03.txt	433192.01		432687.993	363.041		7.722	0.007
Geo_n240_ds_04.txt	525607.15		524082.203	1283.126		7.749	0.028
Geo_n240_ds_05.txt	624718.73		623771.708	1145.933		7.703	0.008
Geo_n240_ds_06.txt	714772.72		713534.194	1058.376		7.723	0.013
Geo_n240_ds_07.txt	681948.28		679233.362	1709.066		7.720	0.012
Geo_n240_ds_08.txt	261769.35		261713.830	33.461		7.727	0.021
Geo_n240_ds_09.txt	818915.12		817232.386	2270.500		7.712	0.017
Geo_n240_ds_10.txt	708371.55		707194.820	1347.626		7.722	0.012
Geo_n240_ss_01.txt	377072.07		377022.520	57.971		4.014	0.010
Geo_n240_ss_02.txt	659367.49		659296.467	44.560		4.045	0.011
Geo_n240_ss_03.txt	413407.24		413316.631	58.206		4.022	0.007
Geo_n240_ss_04.txt	491837.31		491745.708	47.888		4.032	0.009
Geo_n240_ss_05.txt	596308.13		596261.668	30.661		4.075	0.014
Geo_n240_ss_06.txt	676160.41		675897.494	132.041		4.098	0.024
Geo_n240_ss_07.txt	650876.57		650812.786	47.524		4.106	0.048
Geo_n240_ss_08.txt	253581.94		253561.424	20.391		4.091	0.014
Geo_n240_ss_09.txt	781590.64		781469.271	103.902		4.099	0.025
Geo_n240_ss_10.txt	677871.27		677712.500	129.414		4.037	0.012
Geo_n480_ds_01.txt	1161209.87		1159624.877	1985.612		16.337	0.012
Geo_n480_ds_02.txt	2173818.13		2171611.724	1654.560		16.365	0.022
Geo_n480_ds_03.txt	1324567.84		1323030.964	1997.577		16.307	0.028
Geo_n480_ds_04.txt	1668032.98		1665840.376	1707.629		16.366	0.032
Geo_n480_ds_05.txt	1970098.11		1966982.318	3323.089		16.270	0.017
