Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

RanInt_n120_ds_03.txt	96392.00		95687.200	646.360		4.617	0.005
RanInt_n120_ds_04.txt	96414.00		95142.800	736.305		4.657	0.017
RanInt_n120_ds_05.txt	95826.00		94919.600	664.783		4.627	0.006
RanInt_n120_ds_06.txt	95108.00		94816.400	243.226		4.640	0.009
RanInt_n120_ds_07.txt	96502.00		95550.000	1089.447		4.628	0.006
RanInt_n120_ds_08.txt	96528.00		96321.200	336.822		4.645	0.008
RanInt_n120_ds_09.txt	95576.00		95260.000	320.782		4.632	0.009
RanInt_n120_ds_10.txt	96596.00		95549.600	552.744		4.650	0.006
RanInt_n120_ss_01.txt	92084.00		91176.400	699.539		2.418	0.007
RanInt_n120_ss_02.txt	92220.00		91615.600	543.287		2.437	0.013
RanInt_n120_ss_03.txt	91318.00		90715.600	570.107		2.412	0.016
RanInt_n120_ss_04.txt	91188.00		90948.000	214.659		2.423	0.020
RanInt_n120_ss_05.txt	89978.00		89644.000	409.484		2.419	0.009
RanInt_n120_ss_06.txt	89956.00		89325.200	493.995		2.441	0.018
RanInt_n120_ss_07.txt	90938.00		89574.000	812.261		2.417	0.019
RanInt_n120_ss_08.txt	90910.00		90187.600	542.307		2.444	0.019
RanInt_n120_ss_09.txt	90692.00		90244.800	374.846		2.409	0.009
RanInt_n120_ss_10.txt	91958.00		91310.000	362.222		2.431	0.021
RanInt_n240_ds_01.txt	306220.00		305064.000	1019.343		10.043	0.034
RanInt_n240_ds_02.txt	305888.00		303694.400	1474.594		10.027	0.027
RanInt_n240_ds_03.txt	305080.00		303403.200	1014.588		9.991	0.023
RanInt_n240_ds_04.txt	308398.00		307788.400	522.375		10.032	0.011
RanInt_n240_ds_05.txt	305596.00		304403.600	1044.710		10.000	0.023
RanInt_n240_ds_06.txt	306760.00		305600.400	978.204		10.022	0.014
RanInt_n240_ds_07.txt	304172.00		302871.200	985.614		9.990	0.011
RanInt_n240_ds_08.txt	302596.00		301136.000	1601.892		10.025	0.008
RanInt_n240_ds_09.txt	306426.00		304397.200	1482.731		9.985	0.023
RanInt_n240_ds_10.txt	306134.00		304293.600	1146.159		10.034	0.033
RanInt_n240_ss_01.txt	296270.00		294903.600	869.668		5.274	0.043
RanInt_n240_ss_02.txt	296426.00		295125.200	737.753		5.237	0.013
RanInt_n240_ss_03.txt	298054.00		295569.200	1418.234		5.302	0.107
RanInt_n240_ss_04.txt	298724.00		296322.000	1307.151		5.264	0.041
RanInt_n240_ss_05.txt	297654.00		295991.600	950.589		5.229	0.032
RanInt_n240_ss_06.txt	294920.00		294408.000	474.224		5.233	0.015
RanInt_n240_ss_07.txt	296762.00		294798.000	1523.572		5.228	0.027
