Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

RanInt_n120_ds_04.txt	47994.00		47671.000	297.194		13.682	0.018
RanInt_n120_ds_05.txt	47783.00		47320.200	499.309		13.693	0.029
RanInt_n120_ds_06.txt	47385.00		47153.000	181.812		13.739	0.089
RanInt_n120_ds_07.txt	47933.00		47658.800	217.947		13.647	0.023
RanInt_n120_ds_08.txt	48093.00		47589.200	301.908		13.768	0.033
RanInt_n120_ds_09.txt	48265.00		47950.400	209.415		13.660	0.014
RanInt_n120_ds_10.txt	47935.00		47514.800	389.734		13.743	0.028
RanInt_n120_ss_01.txt	46016.00		45623.600	315.941		7.061	0.034
RanInt_n120_ss_02.txt	45811.00		45501.600	332.568		7.025	0.026
RanInt_n120_ss_03.txt	45733.00		45250.400	256.517		7.016	0.046
RanInt_n120_ss_04.txt	45426.00		45278.200	168.802		7.074	0.055
RanInt_n120_ss_05.txt	45437.00		45240.000	155.323		7.051	0.070
RanInt_n120_ss_06.txt	45061.00		44619.600	295.347		7.094	0.038
RanInt_n120_ss_07.txt	45185.00		44857.800	280.598		7.052	0.037
RanInt_n120_ss_08.txt	45505.00		45170.600	247.527		7.055	0.021
RanInt_n120_ss_09.txt	45942.00		45432.200	315.995		7.026	0.046
RanInt_n120_ss_10.txt	45766.00		45579.800	173.703		7.066	0.047
RanInt_n240_ds_01.txt	153324.00		152260.000	597.215		29.532	0.064
RanInt_n240_ds_02.txt	152124.00		151559.600	650.696		29.607	0.027
RanInt_n240_ds_03.txt	151971.00		151647.800	284.391		29.473	0.067
RanInt_n240_ds_04.txt	154582.00		153694.000	466.366		29.667	0.057
RanInt_n240_ds_05.txt	153007.00		152322.400	589.385		29.535	0.083
RanInt_n240_ds_06.txt	153518.00		153211.600	267.675		29.669	0.031
RanInt_n240_ds_07.txt	152419.00		151637.200	429.076		29.672	0.106
RanInt_n240_ds_08.txt	151799.00		150594.800	739.008		29.550	0.058
RanInt_n240_ds_09.txt	152393.00		152182.200	208.579		29.529	0.027
RanInt_n240_ds_10.txt	152369.00		152100.400	220.534		29.644	0.091
RanInt_n240_ss_01.txt	148786.00		148113.800	597.938		15.243	0.111
RanInt_n240_ss_02.txt	148401.00		147429.800	622.602		15.220	0.074
RanInt_n240_ss_03.txt	149183.00		148241.000	541.538		15.178	0.050
RanInt_n240_ss_04.txt	148718.00		148420.600	239.835		15.299	0.054
RanInt_n240_ss_05.txt	149809.00		148630.800	735.317		15.236	0.069
RanInt_n240_ss_06.txt	148942.00		147940.400	747.425		15.209	0.062
RanInt_n240_ss_07.txt	148616.00		148284.400	281.045		15.228	0.037
RanInt_n240_ss_08.txt	148147.00		147387.600	735.618		15.234	0.035
RanInt_n240_ss_09.txt	148209.00		147609.600	632.206		15.228	0.033
RanInt_n240_ss_10.txt	148640.00		148023.200	419.964		15.263	0.026
RanInt_n480_ds_01.txt	368403.00		367029.600	909.885		61.938	1.310
RanInt_n480_ds_02.txt	367510.00		365932.800	1085.976		54.788	0.061
RanInt_n480_ds_03.txt	365781.00		364574.800	1039.666		54.645	0.139
RanInt_n480_ds_04.txt	368728.00		367904.400	725.265		54.668	0.081
RanInt_n480_ds_05.txt	366521.00		365071.800	918.912		54.503	0.203
RanInt_n480_ds_06.txt	366865.00		365288.800	1162.553		54.674	0.170
RanInt_n480_ds_07.txt	365485.00		364671.200	708.729		54.426	0.148
RanInt_n480_ds_08.txt	368626.00		367330.800	950.557		54.706	0.085
RanInt_n480_ds_09.txt	365515.00		364618.800	604.253		54.512	0.100
RanInt_n480_ds_10.txt	370899.00		369873.400	813.897		54.607	0.144
RanInt_n480_ss_01.txt	357342.00		356022.200	834.169		28.123	0.093
RanInt_n480_ss_02.txt	357206.00		356140.200	848.617		28.307	0.092
RanInt_n480_ss_03.txt	356868.00		355095.200	1152.300		28.233	0.072
RanInt_n480_ss_04.txt	357429.00		355725.600	877.767		28.292	0.106
RanInt_n480_ss_05.txt	357083.00		355979.400	682.803		28.157	0.136
RanInt_n480_ss_06.txt	356338.00		355486.000	989.076		28.194	0.055
RanInt_n480_ss_07.txt	356478.00		355410.000	809.919		28.212	0.075
RanInt_n480_ss_08.txt	357318.00		356037.000	799.606		28.217	0.097
RanInt_n480_ss_09.txt	356871.00		355835.000	875.352		28.089	0.091
RanInt_n480_ss_10.txt	358193.00		356942.200	997.158		28.150	0.057
RanInt_n960_ds_01.txt	1176099.00		1171945.000	2457.599		119.736	0.095
RanInt_n960_ds_02.txt	1172325.00		1171173.400	633.570		120.127	0.208
RanInt_n960_ds_03.txt	1171758.00		1170018.600	1235.158		119.823	0.110
RanInt_n960_ds_04.txt	1175464.00		1173042.600	1490.202		120.252	0.194
RanInt_n960_ds_05.txt	1171819.00		1169003.600	1893.618		119.489	0.163
RanInt_n960_ds_06.txt	1172785.00		1169649.000	2264.298		120.082	0.138
RanInt_n960_ds_07.txt	1174709.00		1172163.400	2117.382		119.765	0.175
RanInt_n960_ds_08.txt	1173010.00		1170355.600	1975.794		120.130	0.204
RanInt_n960_ds_09.txt	1171715.00		1168726.800	2403.412		128.342	7.988
