Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

RanInt_n120_ds_04.txt	48119.00		47602.200	287.736		11.059	0.102
RanInt_n120_ds_05.txt	47083.00		46887.800	190.321		10.967	0.139
RanInt_n120_ds_06.txt	47974.00		47305.800	380.508		10.938	0.056
RanInt_n120_ds_07.txt	47853.00		47456.200	257.205		10.863	0.116
RanInt_n120_ds_08.txt	47930.00		47696.200	169.102		10.830	0.089
RanInt_n120_ds_09.txt	47702.00		47372.600	292.440		10.890	0.086
RanInt_n120_ds_10.txt	47889.00		47535.200	384.796		10.915	0.130
RanInt_n120_ss_01.txt	45670.00		45291.200	281.919		5.909	0.242
RanInt_n120_ss_02.txt	46170.00		45575.200	453.090		6.016	0.176
RanInt_n120_ss_03.txt	45551.00		45270.000	246.639		5.708	0.108
RanInt_n120_ss_04.txt	45289.00		45049.000	215.589		5.852	0.198
RanInt_n120_ss_05.txt	45145.00		44723.400	263.048		5.754	0.300
RanInt_n120_ss_06.txt	44691.00		44416.000	228.947		5.696	0.102
RanInt_n120_ss_07.txt	45396.00		45092.400	207.695		5.574	0.067
RanInt_n120_ss_08.txt	45481.00		45208.200	284.188		5.834	0.188
RanInt_n120_ss_09.txt	45162.00		44867.200	265.960		6.021	0.119
RanInt_n120_ss_10.txt	45918.00		45470.200	368.850		5.805	0.086
RanInt_n240_ds_01.txt	153378.00		151869.400	790.880		23.486	0.209
RanInt_n240_ds_02.txt	151900.00		150939.600	524.976		24.176	0.386
RanInt_n240_ds_03.txt	152587.00		151975.200	522.294		23.349	0.165
RanInt_n240_ds_04.txt	153436.00		153045.800	522.398		23.693	0.220
RanInt_n240_ds_05.txt	153760.00		152135.200	913.653		23.165	0.222
RanInt_n240_ds_06.txt	154121.00		153100.200	873.682		23.277	0.158
RanInt_n240_ds_07.txt	152672.00		152105.000	810.268		23.281	0.216
RanInt_n240_ds_08.txt	150643.00		149863.600	631.774		23.577	0.278
RanInt_n240_ds_09.txt	152484.00		152068.800	295.990		23.436	0.260
RanInt_n240_ds_10.txt	152407.00		151342.400	604.880		23.505	0.226
RanInt_n240_ss_01.txt	147596.00		147007.600	543.018		12.250	0.344
RanInt_n240_ss_02.txt	147690.00		146801.400	1011.104		12.443	0.136
RanInt_n240_ss_03.txt	148498.00		147347.600	835.101		12.264	0.294
RanInt_n240_ss_04.txt	148252.00		147700.600	585.436		12.197	0.244
RanInt_n240_ss_05.txt	148562.00		147667.200	1084.923		12.362	0.263
RanInt_n240_ss_06.txt	147846.00		147000.200	646.523		12.295	0.170
RanInt_n240_ss_07.txt	147168.00		146305.000	789.241		12.478	0.213
RanInt_n240_ss_08.txt	147362.00		146404.200	677.159		12.179	0.194
RanInt_n240_ss_09.txt	148499.00		147253.000	1005.795		12.247	0.238
RanInt_n240_ss_10.txt	147588.00		146737.200	503.688		12.386	0.205
RanInt_n480_ds_01.txt	367829.00		364840.200	1730.625		49.873	0.486
RanInt_n480_ds_02.txt	366047.00		363432.600	2153.659		50.167	0.371
RanInt_n480_ds_03.txt	365594.00		363431.000	2396.346		50.166	0.251
RanInt_n480_ds_04.txt	368387.00		365350.200	3181.572		50.403	0.792
RanInt_n480_ds_05.txt	366765.00		365048.000	889.879		49.925	0.327
RanInt_n480_ds_06.txt	365637.00		362315.600	2258.864		50.515	0.274
RanInt_n480_ds_07.txt	366828.00		364138.200	2140.611		50.132	0.307
RanInt_n480_ds_08.txt	367495.00		365102.600	2352.415		49.978	0.288
RanInt_n480_ds_09.txt	365138.00		363456.400	2124.125		50.020	0.178
RanInt_n480_ds_10.txt	368939.00		366263.600	1546.122		49.916	0.172
RanInt_n480_ss_01.txt	356184.00		354821.800	1032.677		25.919	0.175
RanInt_n480_ss_02.txt	357823.00		355935.000	1479.951		25.989	0.145
RanInt_n480_ss_03.txt	356383.00		354584.400	1815.268		25.836	0.253
RanInt_n480_ss_04.txt	356187.00		354559.800	1397.997		26.070	0.183
RanInt_n480_ss_05.txt	356236.00		353771.000	1603.599		26.519	0.245
RanInt_n480_ss_06.txt	357850.00		354372.000	3657.434		26.504	0.419
RanInt_n480_ss_07.txt	354522.00		353385.000	1086.704		26.081	0.316
RanInt_n480_ss_08.txt	355850.00		353113.000	2654.724		26.417	0.496
RanInt_n480_ss_09.txt	354477.00		352765.600	1195.355		26.321	0.541
RanInt_n480_ss_10.txt	355612.00		354439.600	863.258		26.667	0.114
RanInt_n960_ds_01.txt	1172841.00		1167932.200	5128.814		109.221	0.953
RanInt_n960_ds_02.txt	1172378.00		1164693.400	5191.970		109.821	0.540
RanInt_n960_ds_03.txt	1170515.00		1165603.200	3332.919		109.933	0.708
RanInt_n960_ds_04.txt	1173061.00		1167317.800	5831.195		109.993	0.865
RanInt_n960_ds_05.txt	1167954.00		1161904.200	3899.394		109.695	0.855
RanInt_n960_ds_06.txt	1171335.00		1163155.600	5362.343		110.030	0.812
RanInt_n960_ds_07.txt	1170724.00		1167168.800	2585.282		109.917	0.385
RanInt_n960_ds_08.txt	1169678.00		1166418.800	2276.561		109.706	0.330
RanInt_n960_ds_09.txt	1166342.00		1159965.400	3485.150		110.542	1.407
RanInt_n960_ds_10.txt	1173748.00		1168325.200	4942.939		109.278	0.755
RanInt_n960_ss_01.txt	1150058.00		1141753.000	9201.688		57.908	0.993
RanInt_n960_ss_02.txt	1151650.00		1148317.200	2800.774		57.381	0.389
RanInt_n960_ss_03.txt	1152271.00		1139886.600	7193.041		58.190	0.586
RanInt_n960_ss_04.txt	1149402.00		1144658.800	4318.982		58.110	0.746
RanInt_n960_ss_05.txt	1150389.00		1146908.200	4303.379		57.659	0.630
RanInt_n960_ss_06.txt	1150591.00		1142164.000	4392.420		58.044	1.010
RanInt_n960_ss_07.txt	1150383.00		1146083.400	3281.475		57.772	0.359
RanInt_n960_ss_08.txt	1150105.00		1147008.400	2153.808		57.261	0.656
RanInt_n960_ss_09.txt	1150351.00		1139585.400	5853.987		58.620	0.409
RanInt_n960_ss_10.txt	1149615.00		1142845.800	5154.508		58.036	0.510
RanReal_n120_ds_01.txt	47951.74		47779.004	150.388		10.870	0.094
RanReal_n120_ds_02.txt	48171.32		47903.298	159.890		10.955	0.066
RanReal_n120_ds_03.txt	48088.57		47383.255	423.199		10.885	0.116
RanReal_n120_ds_04.txt	47884.13		47545.191	222.410		10.935	0.140
RanReal_n120_ds_05.txt	47182.89		46911.775	370.176		10.933	0.141
RanReal_n120_ds_06.txt	48130.90		47613.575	448.295		10.912	0.088
RanReal_n120_ds_07.txt	47765.26		47492.504	213.830		10.810	0.080
RanReal_n120_ds_08.txt	48105.44		47696.150	293.943		10.950	0.070
RanReal_n120_ds_09.txt	48174.83		47725.439	303.894		11.038	0.092
RanReal_n120_ds_10.txt	47846.64		47229.461	412.213		10.991	0.131
RanReal_n120_ss_01.txt	45534.74		45129.453	400.386		5.787	0.176
RanReal_n120_ss_02.txt	45096.19		44862.961	225.827		5.712	0.130
RanReal_n120_ss_03.txt	45028.45		44771.044	256.274		5.744	0.096
RanReal_n120_ss_04.txt	45642.24		45160.763	255.903		5.721	0.084
RanReal_n120_ss_05.txt	44832.95		44399.486	360.557		5.825	0.243
