Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

Geo_n120_ds_06.txt	252096.87		246467.699	2831.757		0.001	0.000
Geo_n120_ds_07.txt	196461.24		194019.652	2004.694		0.001	0.000
Geo_n120_ds_08.txt	158962.98		157765.256	1182.209		0.001	0.000
Geo_n120_ds_09.txt	172613.46		170395.769	1234.166		0.001	0.000
Geo_n120_ds_10.txt	117839.99		116351.242	883.917		0.001	0.000
Geo_n120_ss_01.txt	196285.37		194442.651	1271.597		0.001	0.000
Geo_n120_ss_02.txt	105641.04		104427.043	920.291		0.001	0.000
Geo_n120_ss_03.txt	89777.34		89251.462	456.351		0.001	0.000
Geo_n120_ss_04.txt	141091.26		140439.100	945.829		0.001	0.000
Geo_n120_ss_05.txt	216790.69		215240.854	1282.287		0.001	0.000
Geo_n120_ss_06.txt	242637.62		241836.754	725.715		0.001	0.000
Geo_n120_ss_07.txt	190649.01		188520.506	1675.348		0.001	0.000
Geo_n120_ss_08.txt	153682.54		152363.684	1191.656		0.001	0.000
Geo_n120_ss_09.txt	167677.27		166318.256	875.949		0.001	0.000
Geo_n120_ss_10.txt	114781.78		114018.355	664.657		0.001	0.000
Geo_n240_ds_01.txt	370312.90		367372.829	2255.980		0.002	0.000
Geo_n240_ds_02.txt	650589.03		648289.052	1404.848		0.002	0.000
Geo_n240_ds_03.txt	404822.19		401478.107	3655.690		0.002	0.000
Geo_n240_ds_04.txt	485925.49		482146.270	3352.400		0.002	0.000
Geo_n240_ds_05.txt	591395.23		586873.388	3798.066		0.002	0.000
Geo_n240_ds_06.txt	673106.85		667787.020	3676.298		0.002	0.000
Geo_n240_ds_07.txt	639622.21		638186.844	924.624		0.002	0.000
Geo_n240_ds_08.txt	247093.69		245109.171	1390.548		0.001	0.000
Geo_n240_ds_09.txt	776959.79		772617.167	2961.024		0.002	0.000
Geo_n240_ds_10.txt	670578.04		666880.674	2301.576		0.002	0.000
Geo_n240_ss_01.txt	369222.21		366167.304	2299.248		0.001	0.000
Geo_n240_ss_02.txt	645921.12		643081.383	1495.428		0.001	0.000
Geo_n240_ss_03.txt	402165.79		401067.221	1102.694		0.001	0.000
Geo_n240_ss_04.txt	480397.95		478559.075	1322.137		0.001	0.000
Geo_n240_ss_05.txt	584529.46		580442.781	2205.446		0.001	0.000
Geo_n240_ss_06.txt	663597.21		659513.743	2079.431		0.001	0.000
Geo_n240_ss_07.txt	634501.07		633506.309	755.154		0.001	0.000
Geo_n240_ss_08.txt	244822.16		241554.669	3076.235		0.001	0.000
Geo_n240_ss_09.txt	764302.16		763735.568	673.036		0.001	0.000
Geo_n240_ss_10.txt	661665.69		660679.873	908.300		0.001	0.000
Geo_n480_ds_01.txt	1085405.65		1079534.234	3857.291		0.004	0.000
Geo_n480_ds_02.txt	2068269.17		2063888.072	3039.988		0.003	0.000
Geo_n480_ds_03.txt	1247996.81		1244662.685	2350.112		0.003	0.000
Geo_n480_ds_04.txt	1564924.41		1560048.683	4927.258		0.003	0.000
